Scene	Core Word	Chinese Meaning	Level	L2 Phrase EN	L2 Phrase ZH	L3 Sentence 1	L3 Sentence 2	L3 Sentence 3	L4 Sentence 1	L4 Sentence 2	L4 Sentence 3
生活起居 Daily Routines	turn on	打开（电器）	L2	Turn on the light!	打开灯！	Turn on the lamp.	Turn on the fan.	Turn on the music.	Turn on the light before you start reading.	Turn on the music when Mommy says, "Go!"	Turn on the fan if you feel hot.
生活起居 Daily Routines	turn off	关闭（电器）	L2	Turn off the light!	关灯！	Turn off the lamp.	Turn off the fan.	Turn off the music.	Turn off the light before you go to bed.	Turn off the music when Mommy says, "Stop!"	Turn off the fan when you leave the room.
生活起居 Daily Routines	rub	揉；擦	L1	Rub your eyes!	揉揉手！	Rub your hands together.	Rub your eyes gently.	Rub the towel on your face.	Rub your hands together when they feel cold.	Rub your face with the towel after you wash it.	Rub your hands and then dry them with the towel.
生活起居 Daily Routines	stretch	伸展	L1	Stretch your arms!	伸伸胳膊！	Stretch your legs.	Stretch up high.	Stretch your back.	Stretch your arms before you start running.	Stretch up high and touch the ceiling.	Stretch your legs after you wake up.
生活起居 Daily Routines	yawn	打哈欠	L1	A big yawn!	一个大哈欠！	Yawn slowly.	Yawn like a sleepy bear.	Yawn and stretch.	Yawn when you feel sleepy.	Yawn and stretch before you lie down.	Yawn like a sleepy bear and close your eyes.
生活起居 Daily Routines	pack	打包；整理行囊	L2	Pack your bag!	整理你的包！	Pack your toys.	Pack your lunch.	Pack the book.	Pack your bag before we go to school.	Pack your favorite toys for the trip.	Pack the lunchbox into your backpack.
生活起居 Daily Routines	comb	梳理	L1	Comb your hair!	梳头发！	Comb your hair slowly.	Comb Mommy's hair.	Comb Teddy's hair.	Comb your hair before you go to school.	Comb Teddy's hair and then put the comb away.	Comb the back of your hair while Mommy holds the mirror.
生活起居 Daily Routines	brush	刷；刷牙	L1	Brush your teeth!	刷牙！	Brush your hair.	Brush your teeth slowly.	Brush your teeth gently.	Brush your teeth before you eat breakfast.	Brush Teddy's teeth and then put the brush away.	Brush the top teeth before you brush the bottom teeth.
生活起居 Daily Routines	listen	听	L1	Listen to me!	听我说！	Listen to the music.	Listen to the bird.	Listen to Mommy.	Listen to Mommy before you start the game.	Listen for the bell and then clap.	Listen to the music while you dance.
生活起居 Daily Routines	read	阅读	L1	Read the book!	读书！	Read a story.	Read with Mommy.	Read this page.	Read the story before you go to bed.	Read this page and point to the picture.	Read with Mommy and tell her what you see.
日常自理 Daily Self-care	smell	闻	L1	Smell the soup!	闻闻汤！	Smell the flower.	Smell the food.	Smell the soup.	Smell the soup before you taste it.	Smell the flower and tell me if you like it.	Smell the food and guess what we are going to eat.
日常自理 Daily Self-care	bite	咬；吃一口	L2	Take a bite!	咬一口！	Take a bite of the apple.	Take a small bite.	Take another bite.	Take a small bite before you take another one.	Take three bites and then drink some water.	Take a bite of the apple before you eat the banana.
日常自理 Daily Self-care	hold	拿；握住	L1	Hold the cup!	拿住杯子！	Hold the spoon.	Hold my hand.	Hold the toy.	Hold the cup with two hands.	Hold my hand when we cross the street.	Hold Teddy while you walk to the sofa.
日常自理 Daily Self-care	put on	穿上；戴上	L2	Put on your socks!	穿上你的袜子！	Put on your hat.	Put on your coat.	Put on your shoes.	Put on your shoes before we go outside.	Put on your coat when it is cold.	Put on your socks and then put on your shoes.
日常自理 Daily Self-care	take off	脱下；取下	L2	Take off your shoes!	脱下鞋！	Take off your hat.	Take off your coat.	Take off your socks.	Take off your shoes when you come inside.	Take off your coat before you sit down.	Take off your socks and put them in the basket.
日常自理 Daily Self-care	spit	吐出	L2	Spit it out!	吐出来！	Spit the water.	Spit in the sink.	Spit the seeds.	Spit the toothpaste into the sink.	Spit the water out when you finish gargling.	Spit the seeds out when you eat the watermelon.
日常自理 Daily Self-care	pull up	向上拉	L2	Pull up your pants!	把裤子拉上来！	Pull up your socks.	Pull up the zipper.	Pull up your sleeves.	Pull up your pants after you use the toilet.	Pull up your socks before you put on your shoes.	Pull up the zipper when you finish putting on your coat.
日常自理 Daily Self-care	blow	吹	L1	Blow on the soup!	吹吹汤！	Blow on your food.	Blow on the bubble.	Blow out the candle.	Blow on the soup before you taste it.	Blow three times to make the bubble bigger.	Blow out the candle when Mommy says, "Go!"
日常自理 Daily Self-care	chew	咀嚼	L2	Chew your food!	嚼嚼食物！	Chew slowly.	Chew the apple.	Chew your food well.	Chew each bite slowly before you swallow.	Chew your food well before you take another bite.	Chew the apple and then drink some water.
日常自理 Daily Self-care	pass	递；传递	L2	Pass the cup!	把杯子递过来！	Pass the spoon.	Pass the ball.	Pass it to Mommy.	Pass the cup to Daddy when he asks for it.	Pass the ball to Mommy and then sit down.	Pass the red block to me when I say, "Go!"
日常自理 Daily Self-care	zip	拉拉链	L2	Zip up your coat!	拉上外套拉链！	Zip up your jacket.	Zip the bag.	Zip it up slowly.	Zip up your coat before you go outside.	Zip the bag after you put the toys inside.	Zip up your jacket when you feel cold.
日常自理 Daily Self-care	button	扣纽扣	L3	Button your shirt!	扣好衬衫纽扣！	Button your coat.	Button the coat.	Button the top button.	Button your coat before you go outside.	Button your shirt one button at a time.	Button the top button and then zip your coat.
日常自理 Daily Self-care	tie	系；打结	L3	Tie your shoes!	系鞋带！	Tie the ribbon.	Tie your shoelaces.	Tie a knot.	Tie your shoes before you go outside.	Tie the ribbon around the box.	Tie your shoelaces and then put on your shoes.
日常自理 Daily Self-care	snap	按扣；扣上	L3	Snap the button!	扣上按扣！	Snap the coat.	Snap the pocket.	Snap it closed.	Snap the buttons on your coat before you go outside.	Snap the pocket closed after you put the toy inside.	Snap the coat closed and then put on your shoes.
日常自理 Daily Self-care	tuck in	塞进；掖好	L3	Tuck in your shirt!	把衣服塞好！	Tuck in your shirt.	Tuck in the blanket.	Tuck in the corners.	Tuck in your shirt before you go to school.	Tuck Teddy into the blanket before bed.	Tuck in the corners after you make the bed.
日常自理 Daily Self-care	take out	取出；拿出	L2	Take out the spoon!	把勺子拿出来！	Take out the cup.	Take out your clothes.	Take out the toy.	Take out the spoon before you eat.	Take out the toy and put it on the table.	Take out the red cup when Mommy asks for it.
日常自理 Daily Self-care	pour	倒	L2	Pour the water!	倒水！	Pour the milk.	Pour some juice.	Pour water into the cup.	Pour the milk into Mommy's cup.	Pour some water before you add the powder.	Pour slowly so the water does not spill.
日常自理 Daily Self-care	stir	搅拌	L2	Stir the soup!	搅搅汤！	Stir the milk.	Stir the soup slowly.	Stir with a spoon.	Stir the soup three times before you taste it.	Stir the milk after you add the powder.	Stir the soup and then put the spoon on the table.
日常自理 Daily Self-care	scoop	舀；铲取	L3	Scoop the rice!	舀米饭！	Scoop the rice.	Scoop some soup.	Scoop the sand.	Scoop the rice into your bowl.	Scoop three spoonfuls into the cup.	Scoop the sand into the bucket and carry it to Mommy.
日常自理 Daily Self-care	peel	剥皮	L3	Peel the banana!	剥香蕉！	Peel the orange.	Peel the egg.	Peel the sticker.	Peel the banana before you eat it.	Peel the orange and put the peel in the bin.	Peel the egg carefully before you put it on the plate.
游戏与户外 Play & Outdoors	run	跑	L1	Run to Mommy!	跑向妈妈！	Run fast.	Run slowly.	Run to me.	Run to Mommy when she calls you.	Run around the chair three times.	Run to the door and come back when I say, "Go!"
游戏与户外 Play & Outdoors	jump	跳	L1	Jump up!	跳起来！	Jump high.	Jump over the line.	Jump on the mat.	Jump over the line three times.	Jump to Mommy when I say, "Go!"	Jump over the blocks without touching them.
游戏与户外 Play & Outdoors	push	推	L1	Push the car!	推车子！	Push the box.	Push the door.	Push the button.	Push the box to Mommy.	Push the car across the floor.	Push the button when the light turns red.
游戏与户外 Play & Outdoors	tickle	挠痒	L1	Tickle Mommy!	挠挠妈妈！	Tickle Daddy.	Tickle Teddy.	Tickle my hand.	Tickle Mommy when she says, "Go!"	Tickle Teddy and then give him a hug.	Tickle my hand three times and stop.
游戏与户外 Play & Outdoors	catch	接住；抓住	L2	Catch the ball!	接球！	Catch the ball.	Catch the beanbag.	Catch it with two hands.	Catch the ball when Mommy throws it.	Catch the balloon before it touches the floor.	Catch the red ball and pass it to Daddy.
游戏与户外 Play & Outdoors	throw	扔；投	L2	Throw the ball!	扔球！	Throw the ball to Mommy.	Throw the ball high.	Throw the ball into the basket.	Throw the red ball to Mommy.	Throw the ball into the basket three times.	Throw the ball when I say, "Go!"
游戏与户外 Play & Outdoors	kick	踢	L1	Kick the ball!	踢球！	Kick the ball forward.	Kick the ball to Daddy.	Kick the ball gently.	Kick the ball into the goal.	Kick the red ball to Daddy.	Kick the ball three times when I say, "Go!"
游戏与户外 Play & Outdoors	roll	滚动	L1	Roll the ball!	滚球！	Roll the ball to Mommy.	Roll the ball slowly.	Roll the car.	Roll the ball back to me.	Roll the ball under the chair.	Roll the car to Daddy and then stop.
游戏与户外 Play & Outdoors	hide	躲藏	L1	Hide behind the sofa!	躲在沙发后面！	Hide behind the chair.	Hide under the table.	Hide the teddy bear.	Hide behind the door until Mommy finds you.	Hide the teddy bear under the blanket.	Hide and come out when I say, "Come out!"
游戏与户外 Play & Outdoors	press	按压	L1	Press the button!	按按钮！	Press the button.	Press the bell.	Press the clay.	Press the red button three times.	Press the bell when you are ready.	Press the clay and make a small mark.
游戏与户外 Play & Outdoors	climb	爬；攀爬	L2	Climb up!	爬上去！	Climb the stairs.	Climb the ladder.	Climb onto the mat.	Climb the stairs with Mommy.	Climb onto the mat and sit down.	Climb up the ladder when Mommy says, "Go!"
游戏与户外 Play & Outdoors	slide	滑	L1	Slide down!	滑下来！	Slide down the slide.	Slide on the floor.	Slide slowly.	Slide down the slide when it is your turn.	Slide all the way down and stand up.	Slide down with Mommy and then walk back.
游戏与户外 Play & Outdoors	stack	堆叠	L2	Stack the blocks!	把积木堆起来！	Stack the blocks.	Stack the cups.	Stack them high.	Stack three blocks on top of each other.	Stack the red blocks on top of the blue ones.	Stack the cups and then knock them down.
游戏与户外 Play & Outdoors	build	搭建；建造	L2	Build a bridge!	搭一座桥！	Build a house.	Build a tower.	Build with blocks.	Build a tower with five blocks.	Build a bridge for the toy car.	Build a house and put Teddy inside.
游戏与户外 Play & Outdoors	spin	旋转	L1	Spin around!	转圈圈！	Spin slowly.	Spin the wheel.	Spin around twice.	Spin around three times and stop.	Spin the wheel when Mommy says, "Go!"	Spin the top and watch it move.
游戏与户外 Play & Outdoors	swing	荡秋千；摆动	L1	Swing your arms!	摆动你的手臂！	Swing back and forth.	Swing high.	Swing slowly.	Swing back when Mommy pushes you.	Swing for five seconds and then stop.	Swing back and forth while you sing.
游戏与户外 Play & Outdoors	dig	挖	L1	Dig in the sand!	在沙子里挖！	Dig a hole.	Dig with the shovel.	Dig in the garden.	Dig a hole for the toy.	Dig in the sand until you find the treasure.	Dig three times and put the sand in the bucket.
游戏与户外 Play & Outdoors	pedal	踩踏板	L3	Pedal the bike!	踩自行车踏板！	Pedal slowly.	Pedal faster.	Pedal forward.	Pedal the tricycle to Mommy.	Pedal faster when the path is clear.	Pedal to the line and stop.
游戏与户外 Play & Outdoors	balance	保持平衡	L2	Balance on one foot!	单脚保持平衡！	Balance on one foot.	Balance on the line.	Balance on the mat.	Balance on one foot for five seconds.	Balance on the line without stepping off.	Balance like a flamingo and then switch feet.
身体与动作 Body & Movement	dance	跳舞	L1	Dance with me!	和我一起跳舞！	Dance fast.	Dance slowly.	Dance around the chair.	Dance when you hear the music.	Dance like a robot and then freeze.	Dance around the chair three times.
身体与动作 Body & Movement	clap	拍手	L1	Clap your hands!	拍手！	Clap slowly.	Clap three times.	Clap loudly.	Clap three times when you hear the bell.	Clap above your head and then sit down.	Clap with Mommy when the music starts.
身体与动作 Body & Movement	stomp	跺脚	L1	Stomp your feet!	跺脚！	Stomp slowly.	Stomp three times.	Stomp on the floor.	Stomp three times when Mommy says, "Go!"	Stomp your feet and then freeze.	Stomp on the floor when you hear the drum.
身体与动作 Body & Movement	nod	点头	L1	Nod your head!	点头！	Nod slowly.	Nod three times.	Nod yes.	Nod your head when the answer is yes.	Nod three times when Mommy asks you a question.	Nod to Daddy and then wave goodbye.
身体与动作 Body & Movement	shake	摇动	L1	Shake your head!	摇头！	Shake your hands.	Shake the toy.	Shake your head slowly.	Shake the rattle when you hear the music.	Shake your hands and then clap.	Shake the toy three times and put it down.
身体与动作 Body & Movement	point	指	L1	Point to the car!	指向车子！	Point to Mommy.	Point to the ball.	Point up.	Point to the red block on the table.	Point to Mommy when you hear her name.	Point to the door and then walk over to it.
身体与动作 Body & Movement	wave	挥手	L1	Wave hello!	挥手！	Wave goodbye.	Wave to Mommy.	Wave your hands.	Wave to Mommy when she comes in.	Wave goodbye before you leave.	Wave to Teddy and then give him a hug.
身体与动作 Body & Movement	touch	触摸	L1	Touch your nose!	摸摸鼻子！	Touch your toes.	Touch the wall.	Touch the ball.	Touch your nose three times.	Touch the red block with one finger.	Touch the wall and then sit on the mat.
身体与动作 Body & Movement	stand	站	L1	Stand up!	站起来！	Stand tall.	Stand on one foot.	Stand beside Mommy.	Stand on the mat while we play.	Stand beside Mommy when she calls you.	Stand up and then reach for the ball.
身体与动作 Body & Movement	pat	轻拍	L1	Pat your tummy!	拍拍肚子！	Pat your head.	Pat the teddy bear.	Pat your knees.	Pat Teddy on the head and then hug him.	Pat your knees three times.	Pat your back gently after you sit down.
身体与动作 Body & Movement	hop	单脚跳	L1	Hop on one foot!	单脚跳！	Hop on left foot.	Hop three times.	Hop forward.	Hop to the line and stop.	Hop three times when Mommy says, "Go!"	Hop like a bunny until you reach the mat.
身体与动作 Body & Movement	squeeze	挤压	L2	Squeeze the ball!	捏捏球！	Squeeze the sponge.	Squeeze the toy.	Squeeze gently.	Squeeze the ball three times.	Squeeze the sponge over the bowl.	Squeeze the toy when Mommy says, "Go!"
身体与动作 Body & Movement	bend	弯曲	L2	Bend your knees!	弯弯膝盖！	Bend your arms.	Bend down.	Bend forward.	Bend down to pick up the toy.	Bend your knees before you jump.	Bend forward and touch your toes.
身体与动作 Body & Movement	lift	举起；抬起	L2	Lift the box!	举起盒子！	Lift your arms.	Lift the ball.	Lift it up high.	Lift the toy over your head.	Lift the box and carry it to Mommy.	Lift the ball three times and put it down.
身体与动作 Body & Movement	knock	敲	L2	Knock on the door!	敲门！	Knock on the table.	Knock twice.	Knock softly.	Knock on the door before you come in.	Knock three times when you are ready.	Knock on the table and wait for an answer.
身体与动作 Body & Movement	tiptoe	踮脚走	L2	Tiptoe quietly!	踮脚轻走！	Tiptoe to Mommy.	Tiptoe to the door.	Tiptoe around the chair.	Tiptoe to Teddy without making a sound.	Tiptoe around the chair and come back.	Tiptoe to Mommy when the baby is sleeping.
身体与动作 Body & Movement	squat	蹲下	L2	Squat down!	蹲下来！	Squat slowly.	Squat on the mat.	Squat and touch the floor.	Squat down to pick up the ball.	Squat three times before you stand up.	Squat beside the box and look inside.
